Date,EMU,FAR EAST,JAPAN,NORTH AMERICA,PACIFIC ex JAPAN
31/12/1996,231.36,3014.53,2812.89,757.89,840.24
31/01/1997,234.59,2746.48,2505.34,807.84,828.63
28/02/1997,235.46,2802.16,2562.47,811.74,838.84
31/03/1997,244.65,2689.26,2476.68,774.02,798.33
30/04/1997,240.05,2741.87,2565.18,822.06,780.39
30/05/1997,246.91,3026.61,2847,868.63,827.34
30/06/1997,262.82,3218.28,3058.29,905.81,843.86
31/07/1997,276.8,3135.21,2963.69,975.64,840.07
29/08/1997,255.24,2814.05,2705.25,916.91,721.98
30/09/1997,280.44,2788.87,2662.95,963.93,745.09
31/10/1997,262.71,2450.05,2413.48,935.52,585.53
28/11/1997,267.6,2306.06,2264.01,975.98,565.52
31/12/1997,277.05,2188.27,2133.16,989.72,565.57
30/01/1998,288.47,2303.84,2322.14,999.88,529.16
27/02/1998,311.54,2388.51,2332.9,1069.51,609.11
31/03/1998,340.15,2241.69,2172.91,1124.94,600.51
30/04/1998,351.3,2193.65,2162.82,1136.57,557.14
29/05/1998,368.29,2040.34,2042.73,1112.99,493.25
30/06/1998,372.94,2035.96,2070.19,1155.31,462.18
31/07/1998,385.06,1994.42,2041.75,1139.63,444.98
31/08/1998,329.24,1761.64,1807.72,976.19,383.51
30/09/1998,316.35,1741.64,1757.12,1037.68,417.35
30/10/1998,340.84,2059.41,2050.34,1117.66,496.8
30/11/1998,360.88,2148.14,2142.74,1191.05,518.75
31/12/1998,380.96,2214.89,2224.19,1258.04,511.55
29/01/1999,378.19,2214.58,2238.89,1312.75,513.87
26/02/1999,359.64,2170.4,2188.37,1273.34,507.33
31/03/1999,360.19,2466.47,2490.51,1324.88,546.29
30/04/1999,369.63,2618.3,2593.1,1374.48,635.38
31/05/1999,352.63,2469.32,2445.67,1340.88,589.12
30/06/1999,361.85,2707.16,2675.88,1410.99,636.55
30/07/1999,360.32,2933.87,2941.69,1365.91,629.5
31/08/1999,367.71,2915.77,2919.73,1355.31,613.9
30/09/1999,365.5,3060.89,3095.5,1316.6,601.41
29/10/1999,380.28,3193.09,3226.8,1401.41,611.32
30/11/1999,393.72,3349.18,3363.73,1431.06,660.89
31/12/1999,447.04,3568.11,3571.06,1533.64,712.84
31/01/2000,419.46,3391.91,3415.04,1453.71,661.09
29/02/2000,457.29,3316.44,3325.18,1422.99,657.8
31/03/2000,455.65,3565.63,3597.97,1562.94,662.22
28/04/2000,432.98,3303.74,3326.08,1510.7,633.68
31/05/2000,431.75,3104.56,3155.43,1469.9,573.54
30/06/2000,443.67,3324.38,3370.97,1510.7,638.83
31/07/2000,430.06,2994.45,2981.43,1485.91,634.52
31/08/2000,419.19,3170.04,3173.08,1564.56,641.05
29/09/2000,397.92,2999.13,3014.06,1474.36,597.72
31/10/2000,392.56,2827.22,2837.9,1456.64,563.86
30/11/2000,378.11,2711.66,2718.62,1339.52,560.16
29/12/2000,403.68,2583.21,2551.96,1337.56,588.23
31/01/2001,405.79,2562.45,2521.46,1385.97,606.26
28/02/2001,365.66,2454.01,2407.82,1256.12,584.93
30/03/2001,337.7,2344,2328.85,1173.43,516.55
30/04/2001,364.15,2484.03,2486.62,1263.44,544.88
31/05/2001,338.57,2471.18,2480.59,1269.77,537.78
29/06/2001,324.5,2330.46,2332.52,1239.05,536.5
31/07/2001,325.71,2174.31,2158.67,1226.51,521.29
31/08/2001,313.19,2113.77,2104.58,1143.84,509.92
28/09/2001,273.66,1892.16,1902.16,1054.49,433.35
31/10/2001,285.69,1893.64,1898.39,1068.25,458.37
30/11/2001,299.85,1934.77,1919.07,1149.41,499.85
31/12/2001,308.28,1832.5,1789.26,1155.71,516.69
31/01/2002,290.82,1712.33,1649.09,1138.52,523.43
28/02/2002,289.26,1764.47,1717.25,1114.9,515.32
29/03/2002,305.99,1858.83,1809.05,1155.41,535.91
30/04/2002,300.17,1958.87,1914.35,1082,537.4
30/05/2002,296.24,2084.68,2061.97,1071.6,551.33
31/05/2002,297.3,2056.1,2033.6,1073.52,547.09
03/06/2002,294.86,2081.12,2060.81,1046.76,550.09
04/06/2002,287.73,2052.56,2030.61,1046.92,549.22
05/06/2002,286.64,2039.08,2014.72,1055.19,547.84
06/06/2002,289.4,2031.77,2007.37,1034.45,549.42
07/06/2002,284.37,2015.77,1989.85,1032.08,548.58
10/06/2002,284.36,2004.51,1976.01,1035,547.62
11/06/2002,287.88,1999.45,1972.26,1016.84,543.64
12/06/2002,282.07,1986.21,1959.38,1023.8,543.13
13/06/2002,278.79,1961.56,1932.56,1013.67,541.52
14/06/2002,272.2,1934.86,1907.06,1011.38,530.06
17/06/2002,280.82,1884.83,1854.09,1040.06,527.66
18/06/2002,281.86,1909.75,1882,1040.89,531.9
19/06/2002,279.16,1865.15,1837.4,1023.94,526.86
20/06/2002,275.69,1891.87,1864.16,1009.23,531.64
21/06/2002,275.32,1879.53,1853.33,991.53,528.26
24/06/2002,269.37,1898.41,1874.04,995.47,526.3
25/06/2002,273.44,1895.73,1870.35,978.7,524.12
26/06/2002,274.08,1873.45,1850.65,974.86,511.06
27/06/2002,276.49,1887.18,1863.18,991.6,516.74
28/06/2002,287.82,1946.76,1927.33,991.14,516.73
01/07/2002,287.04,1943.51,1924.05,969.25,517.49
02/07/2002,276.33,1942.67,1924.66,948.96,516.28
03/07/2002,268.48,1974.93,1956.4,954.69,513.75
04/07/2002,274.1,1955.46,1931.47,954.71,516.8
05/07/2002,284.39,1974.23,1949.15,989.62,521.53
08/07/2002,287.57,1982.82,1960.09,977.52,526.58
09/07/2002,285.92,2019.46,1999.03,953.32,532.43
10/07/2002,274.04,1994.18,1971.54,922.61,527.78
11/07/2002,265.6,1974.5,1954.27,929.85,514.78
12/07/2002,265.64,1982.72,1961.82,924.37,516.65
15/07/2002,256.66,1960.36,1937.1,920.99,516.88
16/07/2002,257.76,1930.93,1908.58,905.91,509.44
17/07/2002,265.19,1927.58,1906.83,911.88,499.86
18/07/2002,268,1958.18,1939.82,887.1,504.49
19/07/2002,257.37,1931.64,1912.61,854.59,500.36
22/07/2002,243.06,1919.36,1903.02,826.2,492.49
23/07/2002,232.77,1913.06,1891.38,802.57,493.02
24/07/2002,230.14,1888.6,1870.31,848.34,475.32
25/07/2002,237.45,1865.93,1847.83,842.57,476.55
26/07/2002,236.06,1787.64,1766.11,857.7,465.93
29/07/2002,248.29,1787.89,1763.26,904.1,473.16
30/07/2002,248.78,1832.36,1809.37,908.37,484.74
31/07/2002,246.79,1818.2,1793.4,917.28,485.36
01/08/2002,237.82,1811.08,1786.56,889.85,480.41
02/08/2002,236.53,1805.32,1782.15,870.08,475.73
05/08/2002,228.23,1803.36,1784.09,840.93,464.05
06/08/2002,233.54,1746.84,1726.37,865.18,455.53
07/08/2002,233.19,1804.21,1784.32,882.18,472.29
08/08/2002,242.51,1797.53,1777.9,911.46,472.18
09/08/2002,247.49,1836.42,1821.4,914.75,475.02
12/08/2002,243.03,1817.45,1802.09,909.82,476.19
13/08/2002,245.07,1810.48,1790.23,889.95,479.75
14/08/2002,239.75,1838.98,1822.79,924.7,477.28
15/08/2002,244.51,1845.35,1826.93,934.77,485.53
16/08/2002,248.4,1845.43,1826.5,933.79,487.71
19/08/2002,255.08,1801.72,1778.98,955.61,486.63
20/08/2002,251.28,1800.15,1774.8,942.42,493.89
21/08/2002,255.75,1812.65,1787.25,954.79,492.49
22/08/2002,259.59,1822.32,1797.49,968.31,495.14
23/08/2002,255.76,1827.56,1804.87,945.9,494.03
26/08/2002,252,1857.9,1839.43,953.41,491.75
27/08/2002,260.56,1843.11,1824.66,939.75,493.88
28/08/2002,250.63,1822.02,1802.64,922.65,489.95
29/08/2002,246.45,1795.9,1775.81,922.35,487.49
30/08/2002,248.46,1793.89,1774.16,920.47,485.57
02/09/2002,243.99,1778.41,1760.26,920.57,485.14
03/09/2002,236.44,1744.17,1723.18,882.04,483.29
04/09/2002,237.29,1704.31,1677.87,897.03,477.68
05/09/2002,234.5,1729.11,1707.14,882.56,476.34
06/09/2002,240.78,1709.26,1685.41,897.1,476.29
09/09/2002,235.95,1728.57,1708.16,905.86,479.37
10/09/2002,239.91,1726.84,1703.37,912.27,480.98
11/09/2002,245.98,1726.77,1703.49,912.5,484.67
12/09/2002,237.07,1735.4,1713.07,889.51,486.7
13/09/2002,232.64,1701.9,1679.73,891.71,482.09
16/09/2002,229.5,1685.41,1663.85,893.28,478.73
17/09/2002,227.03,1724.19,1703.13,875.55,484.04
18/09/2002,220.05,1726.24,1709.11,870.99,476.97
19/09/2002,216.6,1759.36,1745.2,844.74,475.75
20/09/2002,215.75,1699.06,1681.78,846.24,469.42
23/09/2002,207.95,1691.46,1674.78,834.58,463.89
24/09/2002,204.11,1671.87,1656.01,820.28,460.48
25/09/2002,207.6,1651.52,1635.51,840.77,454.57
26/09/2002,217,1682.03,1666.29,855.28,456.82
27/09/2002,214.62,1714.05,1700.07,827.65,459.69
30/09/2002,206.47,1701.04,1689.93,816.45,451.83
01/10/2002,209.46,1660.54,1645.62,848.8,453.08
02/10/2002,216.26,1637.35,1620.89,828.95,454.72
03/10/2002,212.56,1619.1,1602.64,819.73,454.51
04/10/2002,205.71,1632.48,1616.16,801.26,454.66
07/10/2002,203.51,1566.96,1545.07,786.02,450.44
08/10/2002,199.68,1570.43,1547.52,798.28,450.59
09/10/2002,199.22,1549.39,1524.86,776.83,447.66
10/10/2002,205.21,1534.66,1511.92,804.12,441.79
11/10/2002,215.61,1551.09,1528.36,835.7,447.31
14/10/2002,213.4,1550.2,1527.38,841.7,450.25
15/10/2002,225.97,1596.41,1571.16,882.23,460.23
16/10/2002,222.84,1611.26,1585.56,860.99,462.41
17/10/2002,228.82,1614.6,1585.54,880.88,466.44
18/10/2002,228.27,1625.3,1597.39,886.02,468.58
21/10/2002,230.44,1617.7,1589.68,900.9,467.58
22/10/2002,228.43,1571.54,1538.96,891.64,469.06
23/10/2002,219.94,1589.77,1555.35,897.37,474.99
24/10/2002,225.14,1578.01,1542.7,884.17,475.78
25/10/2002,224.82,1602.42,1568.21,898.93,474.28
28/10/2002,230.45,1607.82,1572.24,892.24,481.21
29/10/2002,220.72,1604.44,1572.32,883.06,474.41
30/10/2002,226.98,1613.2,1582.36,892.26,470.79
31/10/2002,233.04,1603.07,1572.13,887.42,475.92
01/11/2002,232.55,1610.71,1583.18,902.86,471.2
04/11/2002,241.31,1612.18,1580.34,911.35,481.56
05/11/2002,243.72,1650.86,1623.48,918.63,480.94
06/11/2002,240.06,1647.14,1618.11,926.97,485.03
07/11/2002,235.23,1650.75,1621.87,905.84,483.46
08/11/2002,233.09,1635.73,1606.61,897.63,479.43
11/11/2002,230.97,1598.17,1568.47,878.56,469.63
12/11/2002,233.03,1593.42,1562.9,885.47,471.95
13/11/2002,231.16,1584.17,1553.45,884.29,469.45
14/11/2002,237.1,1563.38,1528.52,905.79,471.83
15/11/2002,238.55,1596,1560.66,911.29,479.59
18/11/2002,242.25,1561.34,1524.65,902.47,477.77
19/11/2002,241.36,1552.84,1514.53,898.81,476.37
20/11/2002,238.7,1560.87,1523.84,916.23,476.68
21/11/2002,246.49,1589.55,1554.32,936.48,480.73
22/11/2002,246.7,1607.79,1572.45,933.06,485.21
25/11/2002,244.92,1633.52,1600.38,936.01,483.41
26/11/2002,239.43,1623.4,1591.2,916,480.23
27/11/2002,246.17,1630.28,1599.35,941.68,475.42
28/11/2002,248.95,1664.41,1634.32,941.85,485.09
29/11/2002,248.29,1663.34,1634.94,939.16,485.44
02/12/2002,248.75,1637.1,1604.52,938.23,488.62
03/12/2002,242.79,1639.6,1608.1,924.5,486.15
04/12/2002,242.42,1604.21,1572.82,920.85,478.58
05/12/2002,238.5,1584.33,1551.37,909.76,480.01
06/12/2002,240.11,1593.36,1561.29,915.5,478.68
09/12/2002,233.79,1586.27,1556.23,895.24,476.92
10/12/2002,236.32,1586.5,1555.72,908.04,472.24
11/12/2002,238.45,1580.97,1550.26,908.66,469.42
12/12/2002,236.43,1583.23,1552.29,905.83,474.33
13/12/2002,233.87,1583.73,1553.51,894.16,471.95
16/12/2002,240.61,1567.46,1535.87,914.88,469.21
17/12/2002,240.12,1579.65,1550.07,907.19,474.13
18/12/2002,234.07,1545.82,1515.47,895.09,470.73
19/12/2002,231.78,1562.95,1533.14,888.3,471.86
20/12/2002,234.93,1561.7,1531.8,899.4,472
23/12/2002,235.64,1565.58,1536.38,901.68,475.22
24/12/2002,236.49,1580.22,1552.72,896.6,475.15
25/12/2002,236.49,1575.22,1547.22,896.6,475.15
26/12/2002,237.09,1600.62,1575.43,893.47,474.94
27/12/2002,231.46,1609.56,1586.47,878.88,472.2
30/12/2002,234.24,1615.25,1595.12,882.2,467.57
31/12/2002,236.33,1614.86,1593.18,882.74,470.16
01/01/2003,236.33,1614.86,1593.18,882.74,470.16
02/01/2003,244.26,1600.84,1578.21,912.07,471.69
03/01/2003,244.59,1603.84,1578.41,912.12,478.69
06/01/2003,248.15,1641.6,1619.7,932.84,487.4
07/01/2003,244.9,1614.18,1590.95,926.92,485.88
08/01/2003,239.1,1591.5,1564.57,913.4,485.63
09/01/2003,244.52,1596.4,1569.71,930.83,486.62
10/01/2003,245.71,1594.18,1565.97,931.61,490.61
13/01/2003,247.09,1604.4,1573.8,930.54,494.2
14/01/2003,249.13,1628.22,1599.1,936.4,496.82
15/01/2003,246.28,1647.58,1619.82,923.36,497.75
16/01/2003,246.02,1646.5,1620.41,919.75,494.66
17/01/2003,240.44,1650.82,1627.92,906.76,494.05
20/01/2003,237.84,1630.82,1607.09,906.68,492.71
21/01/2003,235.5,1644.62,1622.19,892.95,490.48
22/01/2003,231.74,1632.69,1608.26,884.48,486.99
23/01/2003,231.91,1665.47,1643.82,893.58,489.97
24/01/2003,230.23,1650.93,1629.4,868.17,489.86
27/01/2003,223.08,1614.29,1592.63,853.75,485.65
28/01/2003,223.32,1604.48,1580.39,864.43,478.86
29/01/2003,225.73,1580.96,1557.45,870.43,476.65
30/01/2003,227.67,1568.04,1543.31,851.01,475.87
31/01/2003,228.35,1554.21,1528.49,862.09,474.35
03/02/2003,230.62,1573.64,1549.97,866.82,471.11
04/02/2003,225.78,1589.59,1567.61,854.68,475.46
05/02/2003,228.37,1590.22,1569.65,850.02,471.12
06/02/2003,223.86,1581.34,1560.52,844.71,466.75
07/02/2003,220.25,1574.23,1552.52,836.4,469.49
10/02/2003,218.2,1570.14,1547.43,842.19,469.01
11/02/2003,222.47,1565.98,1542.65,835.46,465.8
12/02/2003,218.1,1592.37,1569.87,824.86,469.51
13/02/2003,218.72,1588.38,1568.99,823.67,463.05
14/02/2003,224.01,1599.12,1580.43,840.7,459.24
17/02/2003,226.55,1611.52,1589.86,841.15,465.26
18/02/2003,228.95,1614.95,1593.5,857.7,465.77
19/02/2003,224.11,1616.76,1594.08,851.92,470.29
20/02/2003,223.07,1613.44,1591.29,844.37,466.82
21/02/2003,225.27,1592,1569.06,855.11,466.5
24/02/2003,220.48,1604.46,1583.22,840.14,473.59
25/02/2003,212.84,1573.01,1550.98,845.81,465.45
26/02/2003,211.59,1574.04,1552.43,835.14,469.16
27/02/2003,214.57,1567.32,1545.43,845.06,465.37
28/02/2003,218.77,1560.08,1537.13,849.07,467.19
03/03/2003,220.15,1576.49,1552.98,842.75,474.35
04/03/2003,216.39,1578.17,1556.29,830.43,472.9
05/03/2003,216.23,1577.68,1555.99,838.5,469.46
06/03/2003,213.15,1559.25,1538.9,830.68,466.28
07/03/2003,209.82,1533.34,1512.4,837.64,460.32
10/03/2003,205.13,1512.49,1491.44,816.36,458.82
11/03/2003,204.48,1482.18,1457.86,809.93,451.34
12/03/2003,196.74,1499.85,1476.68,812.52,446.43
13/03/2003,205.46,1476.45,1452.25,839.4,443.35
14/03/2003,212.7,1493.41,1468.07,840.76,452.94
17/03/2003,218,1478.48,1454.55,870.1,448.69
18/03/2003,217.28,1488.82,1462.22,873.96,461.48
19/03/2003,219.37,1495.04,1465.33,881.01,465.93
20/03/2003,217.4,1519.59,1490.51,883.23,469.88
21/03/2003,223.79,1505.42,1474.62,902.59,468.86
24/03/2003,215.06,1553.06,1529.33,871.2,467.75
25/03/2003,220.51,1524.28,1497.37,881.46,468.92
26/03/2003,219.24,1537.73,1512.09,876.6,473.66
27/03/2003,216.76,1541.09,1518.85,875.24,472.75
28/03/2003,216.92,1523.57,1499.31,870.43,473.21
31/03/2003,211.63,1483.6,1460.74,854.99,469.7
01/04/2003,214.14,1488.31,1465.9,864.97,468.7
02/04/2003,220.43,1495.51,1471.89,887.04,468.92
03/04/2003,221.38,1482.49,1458.74,882.78,470.32
04/04/2003,223.82,1481.02,1453.88,885.2,476.44
07/04/2003,230.72,1506.1,1479.41,886.5,481.79
08/04/2003,228.42,1490.19,1465.32,885.19,480
09/04/2003,228.47,1474.8,1452.69,873.05,474.36
10/04/2003,226.32,1472.67,1449.99,878.6,475.82
11/04/2003,227.2,1439.22,1412.85,875.62,475.17
14/04/2003,230.07,1426.87,1402.05,892.17,471.66
15/04/2003,234.19,1448.01,1423.81,897.38,477.7
16/04/2003,234.06,1446.28,1421.4,887.04,483.34
17/04/2003,237.78,1453.07,1430.07,900.68,480.88
18/04/2003,237.78,1455.34,1432.56,900.68,480.88
21/04/2003,236.75,1457.88,1435.91,899.48,479.6
22/04/2003,240.63,1442.52,1419.47,918.5,486.04
23/04/2003,243.03,1437.68,1415.59,926.44,486.36
24/04/2003,239.98,1452.72,1433.57,918.76,485.27
25/04/2003,236.32,1423.17,1401.88,906.25,483.13
28/04/2003,242.14,1409.93,1385.4,922.02,482.38
29/04/2003,241.32,1417.5,1387.31,924.82,492.82
30/04/2003,244.77,1472.45,1449.22,924.59,494.2
01/05/2003,247.01,1482.43,1459.96,924.58,496.67
02/05/2003,246.16,1487.02,1462.72,937.92,493.92
05/05/2003,250.65,1493.09,1466.17,935.01,498.72
06/05/2003,255.93,1529.83,1507.11,942.8,498.44
07/05/2003,253.47,1549.98,1530.3,938.29,497.39
08/05/2003,248.82,1532.72,1510.95,929.43,499.89
09/05/2003,252.01,1541.12,1519.03,942.56,500.36
12/05/2003,253.25,1556.76,1533.28,954.45,506.62
13/05/2003,252.2,1557.2,1534.64,951.52,506.18
14/05/2003,251.91,1566.22,1545.35,949.62,504.68
15/05/2003,254.17,1547.61,1524.16,956.88,502.77
16/05/2003,256.42,1542.99,1520.04,954.85,504.09
19/05/2003,249.82,1522.84,1498.85,932.21,505.6
20/05/2003,249.27,1525.6,1501.82,931.19,503.08
21/05/2003,248.02,1510.78,1485.92,934.96,504.27
22/05/2003,251.33,1522.35,1496.62,943.26,509.5
23/05/2003,251.98,1550.93,1525.24,944.47,515.51
26/05/2003,253.25,1556.18,1527.78,944.6,519.82
27/05/2003,254.98,1534.53,1505.43,962.72,516.63
28/05/2003,257.03,1529.69,1499.19,963.75,514.77
29/05/2003,259.24,1552.88,1524.77,960.43,515.46
30/05/2003,259.99,1547.35,1518.86,973.71,516.81
02/06/2003,263.72,1579.06,1549.8,977.44,526.74
03/06/2003,262.23,1579.08,1549.69,981.53,525.7
04/06/2003,264.55,1583.52,1553.33,996.61,531.2
05/06/2003,266.16,1614.82,1586.65,1001.08,534.67
06/06/2003,268.65,1618.51,1589.67,998.47,533.11
09/06/2003,266.78,1637.77,1609.73,986.12,532.66
10/06/2003,266.7,1634.27,1605.66,994.96,533.02
11/06/2003,271.9,1643.54,1615.66,1007.93,538.47
12/06/2003,273.71,1646.99,1617.85,1008.75,542.16
13/06/2003,271.53,1658.23,1628.95,998.78,544.79
16/06/2003,278.2,1639,1608.78,1020.56,544.7
17/06/2003,278.95,1662.12,1631.52,1021.64,551.88
18/06/2003,277.4,1669.24,1640.52,1019.89,549.37
19/06/2003,273.52,1671.8,1641.72,1004.76,549.63
20/06/2003,274.22,1678.55,1649.78,1005.45,547.34
23/06/2003,265.81,1691.84,1668.24,991.31,541.83
24/06/2003,264.61,1650.45,1625.8,992.52,536.16
25/06/2003,266.7,1653.2,1628.69,985.73,540.03
26/06/2003,263.86,1637.95,1612.28,995.86,532.7
27/06/2003,263.93,1662.68,1637.85,986.64,535.67
30/06/2003,262.43,1653.49,1630.44,984.94,533.67
01/07/2003,259.7,1688.35,1668.31,992.32,539.29
02/07/2003,263.3,1744.68,1728.61,1003.68,541.03
03/07/2003,263.7,1778.39,1765.18,996.3,545.44
04/07/2003,261.87,1765.43,1750.66,996.19,541.74
07/07/2003,266.77,1802.11,1787.06,1014.72,545.74
08/07/2003,266.23,1818.12,1803.39,1017.71,537.76
09/07/2003,265,1835.42,1820.89,1012.31,532.56
10/07/2003,262.58,1820.6,1805.51,998.54,534.52
11/07/2003,264.88,1770.2,1749.91,1007.92,535.92
14/07/2003,268.32,1792.1,1769.82,1014.33,544.27
15/07/2003,266.33,1795.56,1773.61,1010.71,540.7
16/07/2003,264.39,1777.45,1752.7,1004.19,545.4
17/07/2003,260.2,1732.72,1704.72,992.18,540.92
18/07/2003,262.09,1737.22,1709.07,1003.13,536.59
21/07/2003,261,1742.15,1715.27,989.23,539.95
22/07/2003,263.21,1726.44,1700.12,998.24,535.96
23/07/2003,264.68,1748.86,1725.5,999.22,541.41
24/07/2003,270.14,1755.14,1732.15,992.68,546.66
25/07/2003,268.32,1761.09,1737.89,1009.7,548.05
